INPUT           ORIGINAL BASE   TARGET BASE     CONVERTED VALUE      CONVERTED VALUE IN BASE 10
2L              34              29              32                   89                       
4DZw            63              37              KTYT                 1054048                  
N828            45              8               10035255             2112173                  
6HJ7            55              49              8jUK                 1050727                  
F               51              41              F                    15                       
25              40              35              2F                   85                       
1Gk             52              38              2IA                  3582                     
23632330        7               49              HjHL                 2108932                  
113424          5               5               113424               4239                     
N4              25              34              H1                   579                      
1fg             55              10              5322                 5322                     
YD              51              27              2AJ                  1747                     
0               61              16              0                    0                        
1               6               17              1                    1                        
0               40              23              0                    0                        
1               43              26              1                    1                        
B8              40              11              378                  448                      
15              20              10              25                   25                       
0               31              27              0                    0                        
M               57              62              M                    22                       
2100001         3               28              24M                  1702                     
3               31              26              3                    3                        
51A6            15              9               25603                17256                    
jRE             54              27              6K0E                 132692                   
13342           7               27              4PG                  3607                     
4292            16              43              99E                  17042                    
HeXF            49              14              3C8681               2097705                  
4               34              53              4                    4                        
4UAZ            38              27              DA20                 263223                   
eFe             43              32              28SL                 74645                    
4               49              31              4                    4                        
U8U             47              5               4113201              66676                    
2218            9               21              3EK                  1637                     
E               56              39              E                    14                       
1               3               5               1                    1                        
1Bp             62              34              3WL                  4577                     
29A52           13              6               1404044              78652                    
2               56              33              2                    2                        
biWd            48              27              7O370                4194855                  
16              9               19              F                    15                       
65              9               22              2F                   59                       
374A            14              14              374A                 9670                     
17C75           21              29              AONB                 264752                   
dLt             58              8               402565               132469                   
0               53              57              0                    0                        
D22I8           20              27              3PEKO                2097168                  
KPVl            59              10              4196481              4196481                  
0               33              8               0                    0                        
9HEF0           18              35              OG3T                 1048734                  
56JY            37              19              2046G                262216                   
12022210        4               59              7F0                  25252                    
3BHT            34              55              hL5                  131235                   
2Z              46              60              27                   127                      
114032310       5               19              41EDB                533455                   
Matm            57              8               20000131             4194393                  
Bkk             49              30              11R1                 28711                    
OXGD            44              31              28OIT                2109021                  
6B              53              29              BA                   329                      
1uC             60              52              2U4                  6972                     
34210           24              10              1051800              1051800                  
1048619         10              15              15AA7E               1048619                  
1B              16              6               43                   27                       
8E8             15              57              ZN                   2018                     
FV              34              59              9A                   541                      
100000000001111100011111 2               23              1702CB               8396575                  
3H              30              48              2B                   107                      
kOP             54              55              igl                  135457                   
220             3               45              O                    24                       
9N              31              48              6E                   302                      
0               59              24              0                    0                        
100000000000011001010 2               26              27HBG                1048778                  
48              11              3               1221                 52                       
V               44              54              V                    31                       
4B450           13              42              1ab6                 139152                   
1000000001000000 2               44              Gg8                  32832                    
2               6               26              2                    2                        
M               61              17              15                   22                       
Bmo             57              29              1GND                 38525                    
138             38              40              d6                   1566                     
9J              45              63              6k                   424                      
3               60              10              3                    3                        
F               61              20              F                    15                       
29              26              28              25                   61                       
1537            17              36              4Y8                  6416                     
I               54              58              I                    18                       
V               53              14              23                   31                       
1               9               3               1                    1                        
15S             33              26              1N8                  1282                     
6               48              52              6                    6                        
VW96            51              27              7O4HO                4195878                  
B1              38              53              7m                   419                      
4               61              49              4                    4                        
24413           13              19              9D97                 66602                    
3429            14              50              3V3                  9053                     
152             29              36              RG                   988                      
WB              55              47              bW                   1771                     
537CD           15              41              3YQZ                 265018                   
0               23              40              0                    0                        
1ILB            35              5               4100141              65671                    
220             3               20              14                   24                       
30              34              29              3F                   102                      
9X              38              12              273                  375                      
1               33              13              1                    1                        
H6              46              11              657                  788                      
3               30              12              3                    3                        
6BQ             28              47              2D9                  5038                     
28YQ2           37              30              55HP6                4201056                  
5               10              51              5                    5                        
3773H8          19              51              1CCYC                8389971                  
5               37              54              5                    5                        
1               7               8               1                    1                        
8O              45              38              A4                   384                      
SME             37              9               58641                39160                    
D               54              35              D                    13                       
1               60              16              1                    1                        
23001           11              31              13JD                 33276                    
7gc             46              9               25016                16782                    
7RNZ            52              47              A988                 1058495                  
3               53              14              3                    3                        
35CJF           20              29              LFE5                 525195                   
Y               56              20              1E                   34                       
431             5               47              2M                   116                      
193             34              60              OP                   1465                     
51              60              16              12D                  301                      
1D4329          14              2               100000000000100000001 1048833                  
10010000        2               53              2c                   144                      
18              46              11              4A                   54                       
10004034        8               53              E5H4                 2099228                  
3XO3            41              12              1083B3               263223                   
14BBG           18              53              l16                  132082                   
IP              56              24              1J1                  1033                     
3g              58              32              6O                   216                      
5HG             21              47              17e                  2578                     
2               57              8               2                    2                        
20HV            32              26              3JKJ                 66111                    
2               52              58              2                    2                        
6R8             51              22              1D27                 16991                    
PY              47              48              P9                   1209                     
6               27              34              6                    6                        
XYzX            63              40              3B3dD                8390373                  
JLT9            30              50              4D5T                 532779                   
16X             45              31              2D3                  2328                     
976             12              32              1BA                  1386                     
661             40              48              4D1                  9841                     
20BA            13              11              3464                 4547                     
D9M6            43              55              6HRO                 1051184                  
AO              48              39              Ca                   504                      
124             10              27              4G                   124                      
1MFEV           49              22              1DHK71               8389811                  
0               13              49              0                    0                        
166             23              32              L1                   673                      
6               57              12              6                    6                        
83E             35              49              46L                  9919                     
18              9               24              H                    17                       
HK23E           22              52              ThlC                 4196360                  
XzS             63              19              10CA5                134848                   
4201620         10              12              14A75B0              4201620                  
1               2               10              1                    1                        
CZ3             36              35              DPF                  16815                    
4C3             21              17              6GD                  2019                     
12EF            25              23              19DD                 17240                    
0               5               7               0                    0                        
2lO             54              31              8MO                  8394                     
7Z              46              43              8D                   357                      
15I2            19              50              3U8                  9008                     
46              55              44              56                   226                      
1113            8               24              10B                  587                      
EV              56              30              R5                   815                      
2ETc            62              8               2017524              532308                   
2               47              60              2                    2                        
ZEAI            39              22              8L09D                2097867                  
3               57              63              3                    3                        
403F2           16              39              4H0L                 263154                   
23              22              18              2B                   47                       
7               24              30              7                    7                        
D4              15              50              3n                   199                      
CE              24              60              52                   302                      
9PDK            30              57              1Om5                 265910                   
NRa             40              23              32FC                 37916                    
12D8            14              54              17W                  3326                     
8OwO            63              57              BJ80                 2099310                  
1E              22              3               1100                 36                       
100000322320    4               10              4198072              4198072                  
3mU5            51              6               15123252             524336                   
4ky             61              48              7Xc                  17750                    
2               37              51              2                    2                        
3               40              8               3                    3                        
OGML            35              28              1JME7                1049391                  
1               63              35              1                    1                        
5               55              2               101                  5                        
32              57              46              3Z                   173                      
15gI            49              59              bng                  131730                   
10              5               30              5                    5                        
2D05            30              61              He8                  65705                    
5QI             57              45              8YF                  17745                    
5W              54              18              GE                   302                      
1               48              33              1                    1                        
255LB           22              44              66hX                 524645                   
21F9            21              7               110142               19287                    
F               43              21              F                    15                       
10000111100110010 2               36              1HKI                 69426                    
1               3               60              1                    1                        
1               28              23              1                    1                        
78              22              16              A2                   162                      
8o9R            62              22              8L3DF                2099409                  
3ROB            33              51              123B                 138017                   
DB4             23              21              G3F                  7134                     
2QH             62              2               10010001100101       9317                     
926             22              39              2Yc                  4406                     
A67             31              43              5Cg                  9803                     
39G             24              23              3G5                  1960                     
20              10              2               10100                20                       
5T              34              10              199                  199                      
2424            7               59              FF                   900                      
77              14              28              3L                   105                      
6OBU            34              38              4UUO                 263972                   
856120          12              51              FiD0                 2104872                  
B6C             27              57              2Tg                  8193                     
5cb             59              5               1112214              19684                    
73D             22              39              2AZ                  3467                     
13JSX           53              9               16710584             8392000                  
15              10              31              F                    15                       
14              12              37              G                    16                       
EEL             35              33              G76                  17661                    
81              22              54              3F                   177                      
2               27              12              2                    2                        
212022101       3               59              4q1                  16993                    
1GJ4            21              25              11IK                 16720                    
HG              35              4               21203                611                      
FBEH            41              13              2AB321               1052897                  
54FS            47              2               10000001000100101100 528684                   
11873           12              2               101110010010111      23703                    
19EA7           17              37              2MEJ                 131961                   
1DHLHE          22              28              DI65K                8390528                  
d9H             42              31              29UU                 69191                    
2Xpg            59              62              2DX8                 528682                   
3Q2GM           27              49              HilD                 2107993                  
h               58              41              12                   43                       
1ATL            32              34              140T                 43957                    
C               57              12              10                   12                       
GN              33              56              9l                   551                      
1SO             32              24              390                  1944                     
1Q5             36              50              ib                   2237                     
Y               54              57              Y                    34                       
13LOC           53              16              802249               8397385                  
A67N            47              44              CFDG                 1051836                  
6               12              3               20                   6                        
3               42              59              3                    3                        
1F              21              14              28                   36                       
5               7               6               5                    5                        
41FB            32              36              2UAZ                 132587                   
11              14              2               1111                 15                       
2GDJ            23              58              9mu                  33116                    
1               14              38              1                    1                        
2               45              61              2                    2                        
222bX           45              33              72EKL                8389248                  
232311421       5               41              FDZ8                 1057111                  
1979554         13              58              gviu                 8389060                  
LZ              59              3               1202012              1274                     
34B             31              59              p9                   3018                     
P               41              29              P                    25                       
A9B             25              56              23k                  6486                     
11              6               25              7                    7                        
4ZZX            48              31              HJ0F                 524721                   
0               13              49              0                    0                        
215B            20              48              77l                  16511                    
3A              32              63              1h                   106                      
331             6               35              3M                   127                      
1956            11              33              296                  2481                     
35E             43              43              35E                  5776                     
6BAJH           20              31              14A39                1052397                  
20117F          16              56              Bs97                 2101631                  
5               42              26              5                    5                        
3               40              43              3                    3                        
125             6               57              r                    53                       
40              12              13              39                   48                       
h               45              29              1E                   43                       
AB30S           30              23              1708BD               8399728                  
3OKaF           39              14              11879B4              8395818                  
7               42              35              7                    7                        
5HL             33              28              7J7                  6027                     
I               26              12              16                   18                       
1               39              3               1                    1                        
1881            14              35              3LF                  4425                     
QHF2            27              4               2000010032           524558                   
12              5               11              7                    7                        
BL              45              45              BL                   516                      
C               63              6               20                   12                       
2100            3               46              1H                   63                       
21              10              26              L                    21                       
7P6C            41              57              2lSj                 524730                   
3E2W            34              44              1PDe                 134196                   
22              17              2               100100               36                       
8L081           22              12              852035               2097833                  
2SZ             41              6               33013                4545                     
6               43              49              6                    6                        
5m              56              52              6G                   328                      
1JMT5           34              26              4G0FP                2109535                  
LI              42              43              Ke                   900                      
Be              45              5               4120                 535                      
563             10              48              BZ                   563                      
9D17            19              54              MgU                  66450                    
4I              22              35              31                   106                      
2C              24              17              39                   60                       
1DZc            47              29              5EHB                 134223                   
8               31              36              8                    8                        
3848537         9               42              SE1S                 2099230                  
3TR             32              62              12x                  4027                     
I03             29              21              1D70                 15141                    
12E             15              37              7A                   269                      
E135            17              62              Hyx                  69127                    
L87             29              34              FGG                  17900                    
32A388          11              29              LGJS                 526204                   
12              38              48              e                    40                       
6IL5            27              50              12Zg                 131792                   
AKEC            23              13              4846A                132584                   
1               62              53              1                    1                        
CBW             37              39              B3J                  16867                    
1ed             47              57              1FO                  4128                     
28d9            63              34              DK72                 534312                   
407             14              50              Ff                   791                      
0               43              10              0                    0                        
9S              44              24              HG                   424                      
10              26              61              Q                    26                       
22C             16              2               1000101100           556                      
120288          18              32              20330                2100320                  
7Ib             50              8               44005                18437                    
8oP             54              16              65C5                 26053                    
201940          16              25              59FJG                2103616                  
0               27              17              0                    0                        
CYF             51              30              16IL                 32961                    
1LU9            45              54              kG9                  135009                   
