Input: AmA, Original Base: 55, Target Base: 12, Converted: 17058, Base10: 32900
Input: 3r, Original Base: 55, Target Base: 53, Converted: 46, Base10: 218
Input: A, Original Base: 12, Target Base: 29, Converted: A, Base10: 10
Input: 225542133, Original Base: 6, Target Base: 63, Converted: GnR3, Base10: 4196937
Input: 3B3JD, Original Base: 40, Target Base: 10, Converted: 8389573, Base10: 8389573
Input: 2, Original Base: 13, Target Base: 15, Converted: 2, Base10: 2
Input: 30C, Original Base: 24, Target Base: 49, Converted: ZP, Base10: 1740
Input: M, Original Base: 31, Target Base: 35, Converted: M, Base10: 22
Input: 2A, Original Base: 26, Target Base: 10, Converted: 62, Base10: 62
Input: 20AI, Original Base: 26, Target Base: 18, Converted: 6166, Base10: 35430
Input: 1C, Original Base: 61, Target Base: 29, Converted: 2F, Base10: 73
Input: 61, Original Base: 13, Target Base: 41, Converted: 1c, Base10: 79
Input: 5Y29, Original Base: 45, Target Base: 33, Converted: EJN6, Base10: 524574
Input: 7OZM, Original Base: 52, Target Base: 38, Converted: J5VS, Base10: 1050994
Input: 40, Original Base: 12, Target Base: 47, Converted: 11, Base10: 48
Input: 0, Original Base: 43, Target Base: 40, Converted: 0, Base10: 0
Input: O, Original Base: 52, Target Base: 37, Converted: O, Base10: 24
Input: 1QJ, Original Base: 36, Target Base: 37, Converted: 1NV, Base10: 2251
Input: 111463, Original Base: 8, Target Base: 48, Converted: GH3, Base10: 37683
Input: A56, Original Base: 14, Target Base: 48, Converted: gK, Base10: 2036
Input: 4003324, Original Base: 8, Target Base: 13, Converted: 2AA0C2, Base10: 1050324
Input: 8D, Original Base: 37, Target Base: 24, Converted: CL, Base10: 309
Input: 40006764, Original Base: 8, Target Base: 40, Converted: 3B54K, Base10: 8392180
Input: 8AE, Original Base: 25, Target Base: 35, Converted: 4AE, Base10: 5264
Input: 2W0F, Original Base: 36, Target Base: 41, Converted: 1d7W, Base10: 134799
Input: 7PBH, Original Base: 52, Target Base: 47, Converted: A6KL, Base10: 1052445
Input: 4kf, Original Base: 51, Target Base: 54, Converted: 4Kl, Base10: 12791
Input: 1, Original Base: 18, Target Base: 43, Converted: 1, Base10: 1
Input: 12, Original Base: 46, Target Base: 49, Converted: m, Base10: 48
Input: 7F, Original Base: 18, Target Base: 61, Converted: 2J, Base10: 141
Input: 3, Original Base: 35, Target Base: 27, Converted: 3, Base10: 3
Input: E556, Original Base: 21, Target Base: 39, Converted: 28TX, Base10: 131970
Input: 6, Original Base: 10, Target Base: 30, Converted: 6, Base10: 6
Input: arY, Original Base: 60, Target Base: 20, Converted: GC0E, Base10: 132814
Input: f, Original Base: 61, Target Base: 30, Converted: 1B, Base10: 41
Input: 78, Original Base: 14, Target Base: 2, Converted: 1101010, Base10: 106
Input: 3LPO, Original Base: 26, Target Base: 63, Converted: H1+, Base10: 67598
Input: 47, Original Base: 24, Target Base: 55, Converted: 1m, Base10: 103
Input: 1YA, Original Base: 62, Target Base: 43, Converted: 39S, Base10: 5962
Input: B8, Original Base: 32, Target Base: 31, Converted: BJ, Base10: 360
Input: 1D4D3D, Original Base: 14, Target Base: 52, Converted: 7OVl, Base10: 1050811
Input: 3H, Original Base: 49, Target Base: 56, Converted: 2q, Base10: 164
Input: AeW, Original Base: 59, Target Base: 8, Converted: 110522, Base10: 37202
Input: 1, Original Base: 41, Target Base: 59, Converted: 1, Base10: 1
Input: 1, Original Base: 56, Target Base: 25, Converted: 1, Base10: 1
Input: cZ, Original Base: 60, Target Base: 32, Converted: 28B, Base10: 2315
Input: 2206436, Original Base: 7, Target Base: 58, Converted: 1MZh, Base10: 271193
Input: 303431, Original Base: 5, Target Base: 57, Converted: 325, Base10: 9866
Input: 33100, Original Base: 4, Target Base: 57, Converted: H7, Base10: 976
Input: 1, Original Base: 37, Target Base: 13, Converted: 1, Base10: 1
Input: 72, Original Base: 17, Target Base: 48, Converted: 2P, Base10: 121
Input: 32A4, Original Base: 14, Target Base: 21, Converted: JIB, Base10: 8768
Input: 1BPT, Original Base: 37, Target Base: 17, Converted: D9B9, Base10: 66666
Input: 120210120110022, Original Base: 3, Target Base: 28, Converted: DIDD5, Base10: 8396225
Input: 163, Original Base: 20, Target Base: 35, Converted: EX, Base10: 523
Input: 28UDM, Original Base: 37, Target Base: 20, Converted: 1647FJ, Base10: 4195119
Input: A, Original Base: 45, Target Base: 17, Converted: A, Base10: 10
Input: 16708740, Original Base: 9, Target Base: 9, Converted: 16708740, Base10: 8391393
Input: 80A8, Original Base: 16, Target Base: 49, Converted: DZ8, Base10: 32936
Input: 19, Original Base: 57, Target Base: 6, Converted: 150, Base10: 66
Input: 1, Original Base: 8, Target Base: 27, Converted: 1, Base10: 1
Input: 3CA, Original Base: 37, Target Base: 53, Converted: 1X3, Base10: 4561
Input: 4, Original Base: 46, Target Base: 22, Converted: 4, Base10: 4
Input: ADUa, Original Base: 37, Target Base: 44, Converted: 67IP, Base10: 525473
Input: 8H, Original Base: 26, Target Base: 22, Converted: A5, Base10: 225
Input: 266713, Original Base: 10, Target Base: 12, Converted: 10A421, Base10: 266713
Input: 580, Original Base: 19, Target Base: 54, Converted: aD, Base10: 1957
Input: 5BC8, Original Base: 18, Target Base: 23, Converted: 2G6C, Base10: 32948
Input: 1993, Original Base: 19, Target Base: 62, Converted: 2fq, Base10: 10282
Input: PN, Original Base: 35, Target Base: 5, Converted: 12043, Base10: 898
Input: 3588, Original Base: 12, Target Base: 62, Converted: 1Yu, Base10: 6008
Input: 20202122210, Original Base: 3, Target Base: 49, Converted: 16MP, Base10: 133158
Input: PD9, Original Base: 36, Target Base: 31, Converted: 136H, Base10: 32877
Input: 2996, Original Base: 16, Target Base: 34, Converted: 974, Base10: 10646
Input: 40003071, Original Base: 8, Target Base: 11, Converted: 4810756, Base10: 8390201
Input: 4MOi, Original Base: 49, Target Base: 27, Converted: QHI1, Base10: 524638
Input: 3, Original Base: 43, Target Base: 32, Converted: 3, Base10: 3
Input: G9DA, Original Base: 20, Target Base: 37, Converted: 2MC2, Base10: 131870
Input: 15, Original Base: 13, Target Base: 3, Converted: 200, Base10: 18
Input: LBNKK, Original Base: 25, Target Base: 23, Converted: 16MCL1, Base10: 8389895
Input: 1CE60, Original Base: 51, Target Base: 28, Converted: DIA85, Base10: 8393733
Input: 113, Original Base: 5, Target Base: 30, Converted: 13, Base10: 33
Input: 32N4, Original Base: 35, Target Base: 13, Converted: 4804C, Base10: 131884
Input: QVI, Original Base: 50, Target Base: 40, Converted: 11O8, Base10: 66568
Input: 0, Original Base: 31, Target Base: 54, Converted: 0, Base10: 0
Input: 306, Original Base: 38, Target Base: 12, Converted: 2616, Base10: 4338
Input: 1B0, Original Base: 21, Target Base: 59, Converted: BN, Base10: 672
Input: 80GCA, Original Base: 19, Target Base: 33, Converted: T5T7, Base10: 1048582
Input: 64O, Original Base: 56, Target Base: 31, Converted: JPU, Base10: 19064
Input: 212D8, Original Base: 19, Target Base: 42, Converted: 3Q8E, Base10: 268478
Input: C2, Original Base: 16, Target Base: 13, Converted: 11C, Base10: 194
Input: 4, Original Base: 27, Target Base: 45, Converted: 4, Base10: 4
Input: 402160, Original Base: 8, Target Base: 41, Converted: 1bQO, Base10: 132208
Input: 0, Original Base: 47, Target Base: 62, Converted: 0, Base10: 0
Input: 1, Original Base: 22, Target Base: 47, Converted: 1, Base10: 1
Input: IF1, Original Base: 30, Target Base: 35, Converted: DKQ, Base10: 16651
Input: 5M, Original Base: 36, Target Base: 27, Converted: 7D, Base10: 202
Input: UN, Original Base: 55, Target Base: 17, Converted: 5D7, Base10: 1673
Input: 16MM22, Original Base: 23, Target Base: 23, Converted: 16MM22, Base10: 8394749
Input: 11, Original Base: 5, Target Base: 2, Converted: 110, Base10: 6
Input: d0, Original Base: 63, Target Base: 46, Converted: 17J, Base10: 2457
Input: 1EH, Original Base: 29, Target Base: 39, Converted: WG, Base10: 1264
Input: 32212, Original Base: 4, Target Base: 58, Converted: G6, Base10: 934
Input: 1, Original Base: 59, Target Base: 21, Converted: 1, Base10: 1
Input: 585934, Original Base: 13, Target Base: 8, Converted: 10000536, Base10: 2097502
Input: gvu8, Original Base: 58, Target Base: 3, Converted: 120210020111221, Base10: 8389708
Input: 1, Original Base: 2, Target Base: 5, Converted: 1, Base10: 1
Input: 1eP, Original Base: 50, Target Base: 34, Converted: 3V3, Base10: 4525
Input: 82, Original Base: 9, Target Base: 24, Converted: 32, Base10: 74
Input: 6726, Original Base: 11, Target Base: 52, Converted: 3EL, Base10: 8861
Input: 92JNM, Original Base: 31, Target Base: 26, Converted: I99GD, Base10: 8390265
Input: 5N8, Original Base: 25, Target Base: 36, Converted: 2V0, Base10: 3708
Input: 5, Original Base: 37, Target Base: 44, Converted: 5, Base10: 5
Input: 6f2, Original Base: 51, Target Base: 62, Converted: 4bT, Base10: 17699
Input: d, Original Base: 60, Target Base: 26, Converted: 1D, Base10: 39
Input: NU, Original Base: 36, Target Base: 30, Converted: SI, Base10: 858
Input: 2L, Original Base: 34, Target Base: 29, Converted: 32, Base10: 89
Input: 4DZw, Original Base: 63, Target Base: 37, Converted: KTYT, Base10: 1054048
Input: N828, Original Base: 45, Target Base: 8, Converted: 10035255, Base10: 2112173
Input: 6HJ7, Original Base: 55, Target Base: 49, Converted: 8jUK, Base10: 1050727
Input: F, Original Base: 51, Target Base: 41, Converted: F, Base10: 15
Input: 25, Original Base: 40, Target Base: 35, Converted: 2F, Base10: 85
Input: 1Gk, Original Base: 52, Target Base: 38, Converted: 2IA, Base10: 3582
Input: 23632330, Original Base: 7, Target Base: 49, Converted: HjHL, Base10: 2108932
Input: 113424, Original Base: 5, Target Base: 5, Converted: 113424, Base10: 4239
Input: N4, Original Base: 25, Target Base: 34, Converted: H1, Base10: 579
Input: 1fg, Original Base: 55, Target Base: 10, Converted: 5322, Base10: 5322
Input: YD, Original Base: 51, Target Base: 27, Converted: 2AJ, Base10: 1747
Input: 0, Original Base: 61, Target Base: 16, Converted: 0, Base10: 0
Input: 1, Original Base: 6, Target Base: 17, Converted: 1, Base10: 1
Input: 0, Original Base: 40, Target Base: 23, Converted: 0, Base10: 0
Input: 1, Original Base: 43, Target Base: 26, Converted: 1, Base10: 1
Input: B8, Original Base: 40, Target Base: 11, Converted: 378, Base10: 448
Input: 15, Original Base: 20, Target Base: 10, Converted: 25, Base10: 25
Input: 0, Original Base: 31, Target Base: 27, Converted: 0, Base10: 0
Input: M, Original Base: 57, Target Base: 62, Converted: M, Base10: 22
Input: 2100001, Original Base: 3, Target Base: 28, Converted: 24M, Base10: 1702
Input: 3, Original Base: 31, Target Base: 26, Converted: 3, Base10: 3
Input: 51A6, Original Base: 15, Target Base: 9, Converted: 25603, Base10: 17256
Input: jRE, Original Base: 54, Target Base: 27, Converted: 6K0E, Base10: 132692
Input: 13342, Original Base: 7, Target Base: 27, Converted: 4PG, Base10: 3607
Input: 4292, Original Base: 16, Target Base: 43, Converted: 99E, Base10: 17042
Input: HeXF, Original Base: 49, Target Base: 14, Converted: 3C8681, Base10: 2097705
Input: 4, Original Base: 34, Target Base: 53, Converted: 4, Base10: 4
Input: 4UAZ, Original Base: 38, Target Base: 27, Converted: DA20, Base10: 263223
Input: eFe, Original Base: 43, Target Base: 32, Converted: 28SL, Base10: 74645
Input: 4, Original Base: 49, Target Base: 31, Converted: 4, Base10: 4
Input: U8U, Original Base: 47, Target Base: 5, Converted: 4113201, Base10: 66676
Input: 2218, Original Base: 9, Target Base: 21, Converted: 3EK, Base10: 1637
Input: E, Original Base: 56, Target Base: 39, Converted: E, Base10: 14
Input: 1, Original Base: 3, Target Base: 5, Converted: 1, Base10: 1
Input: 1Bp, Original Base: 62, Target Base: 34, Converted: 3WL, Base10: 4577
Input: 29A52, Original Base: 13, Target Base: 6, Converted: 1404044, Base10: 78652
Input: 2, Original Base: 56, Target Base: 33, Converted: 2, Base10: 2
Input: biWd, Original Base: 48, Target Base: 27, Converted: 7O370, Base10: 4194855
Input: 16, Original Base: 9, Target Base: 19, Converted: F, Base10: 15
Input: 65, Original Base: 9, Target Base: 22, Converted: 2F, Base10: 59
Input: 374A, Original Base: 14, Target Base: 14, Converted: 374A, Base10: 9670
Input: 17C75, Original Base: 21, Target Base: 29, Converted: AONB, Base10: 264752
Input: dLt, Original Base: 58, Target Base: 8, Converted: 402565, Base10: 132469
Input: 0, Original Base: 53, Target Base: 57, Converted: 0, Base10: 0
Input: D22I8, Original Base: 20, Target Base: 27, Converted: 3PEKO, Base10: 2097168
Input: KPVl, Original Base: 59, Target Base: 10, Converted: 4196481, Base10: 4196481
Input: 0, Original Base: 33, Target Base: 8, Converted: 0, Base10: 0
Input: 9HEF0, Original Base: 18, Target Base: 35, Converted: OG3T, Base10: 1048734
Input: 56JY, Original Base: 37, Target Base: 19, Converted: 2046G, Base10: 262216
Input: 12022210, Original Base: 4, Target Base: 59, Converted: 7F0, Base10: 25252
Input: 3BHT, Original Base: 34, Target Base: 55, Converted: hL5, Base10: 131235
Input: 2Z, Original Base: 46, Target Base: 60, Converted: 27, Base10: 127
Input: 114032310, Original Base: 5, Target Base: 19, Converted: 41EDB, Base10: 533455
Input: Matm, Original Base: 57, Target Base: 8, Converted: 20000131, Base10: 4194393
Input: Bkk, Original Base: 49, Target Base: 30, Converted: 11R1, Base10: 28711
Input: OXGD, Original Base: 44, Target Base: 31, Converted: 28OIT, Base10: 2109021
Input: 6B, Original Base: 53, Target Base: 29, Converted: BA, Base10: 329
Input: 1uC, Original Base: 60, Target Base: 52, Converted: 2U4, Base10: 6972
Input: 34210, Original Base: 24, Target Base: 10, Converted: 1051800, Base10: 1051800
Input: 1048619, Original Base: 10, Target Base: 15, Converted: 15AA7E, Base10: 1048619
Input: 1B, Original Base: 16, Target Base: 6, Converted: 43, Base10: 27
Input: 8E8, Original Base: 15, Target Base: 57, Converted: ZN, Base10: 2018
Input: FV, Original Base: 34, Target Base: 59, Converted: 9A, Base10: 541
Input: 100000000001111100011111, Original Base: 2, Target Base: 23, Converted: 1702CB, Base10: 8396575
Input: 3H, Original Base: 30, Target Base: 48, Converted: 2B, Base10: 107
Input: kOP, Original Base: 54, Target Base: 55, Converted: igl, Base10: 135457
Input: 220, Original Base: 3, Target Base: 45, Converted: O, Base10: 24
Input: 9N, Original Base: 31, Target Base: 48, Converted: 6E, Base10: 302
Input: 0, Original Base: 59, Target Base: 24, Converted: 0, Base10: 0
Input: 100000000000011001010, Original Base: 2, Target Base: 26, Converted: 27HBG, Base10: 1048778
Input: 48, Original Base: 11, Target Base: 3, Converted: 1221, Base10: 52
Input: V, Original Base: 44, Target Base: 54, Converted: V, Base10: 31
Input: 4B450, Original Base: 13, Target Base: 42, Converted: 1ab6, Base10: 139152
Input: 1000000001000000, Original Base: 2, Target Base: 44, Converted: Gg8, Base10: 32832
Input: 2, Original Base: 6, Target Base: 26, Converted: 2, Base10: 2
Input: M, Original Base: 61, Target Base: 17, Converted: 15, Base10: 22
Input: Bmo, Original Base: 57, Target Base: 29, Converted: 1GND, Base10: 38525
Input: 138, Original Base: 38, Target Base: 40, Converted: d6, Base10: 1566
Input: 9J, Original Base: 45, Target Base: 63, Converted: 6k, Base10: 424
Input: 3, Original Base: 60, Target Base: 10, Converted: 3, Base10: 3
Input: F, Original Base: 61, Target Base: 20, Converted: F, Base10: 15
Input: 29, Original Base: 26, Target Base: 28, Converted: 25, Base10: 61
Input: 1537, Original Base: 17, Target Base: 36, Converted: 4Y8, Base10: 6416
Input: I, Original Base: 54, Target Base: 58, Converted: I, Base10: 18
Input: V, Original Base: 53, Target Base: 14, Converted: 23, Base10: 31
Input: 1, Original Base: 9, Target Base: 3, Converted: 1, Base10: 1
Input: 15S, Original Base: 33, Target Base: 26, Converted: 1N8, Base10: 1282
Input: 6, Original Base: 48, Target Base: 52, Converted: 6, Base10: 6
Input: VW96, Original Base: 51, Target Base: 27, Converted: 7O4HO, Base10: 4195878
Input: B1, Original Base: 38, Target Base: 53, Converted: 7m, Base10: 419
Input: 4, Original Base: 61, Target Base: 49, Converted: 4, Base10: 4
Input: 24413, Original Base: 13, Target Base: 19, Converted: 9D97, Base10: 66602
Input: 3429, Original Base: 14, Target Base: 50, Converted: 3V3, Base10: 9053
Input: 152, Original Base: 29, Target Base: 36, Converted: RG, Base10: 988
Input: WB, Original Base: 55, Target Base: 47, Converted: bW, Base10: 1771
Input: 537CD, Original Base: 15, Target Base: 41, Converted: 3YQZ, Base10: 265018
Input: 0, Original Base: 23, Target Base: 40, Converted: 0, Base10: 0
Input: 1ILB, Original Base: 35, Target Base: 5, Converted: 4100141, Base10: 65671
Input: 220, Original Base: 3, Target Base: 20, Converted: 14, Base10: 24
Input: 30, Original Base: 34, Target Base: 29, Converted: 3F, Base10: 102
Input: 9X, Original Base: 38, Target Base: 12, Converted: 273, Base10: 375
Input: 1, Original Base: 33, Target Base: 13, Converted: 1, Base10: 1
Input: H6, Original Base: 46, Target Base: 11, Converted: 657, Base10: 788
Input: 3, Original Base: 30, Target Base: 12, Converted: 3, Base10: 3
Input: 6BQ, Original Base: 28, Target Base: 47, Converted: 2D9, Base10: 5038
Input: 28YQ2, Original Base: 37, Target Base: 30, Converted: 55HP6, Base10: 4201056
Input: 5, Original Base: 10, Target Base: 51, Converted: 5, Base10: 5
Input: 3773H8, Original Base: 19, Target Base: 51, Converted: 1CCYC, Base10: 8389971
Input: 5, Original Base: 37, Target Base: 54, Converted: 5, Base10: 5
Input: 1, Original Base: 7, Target Base: 8, Converted: 1, Base10: 1
Input: 8O, Original Base: 45, Target Base: 38, Converted: A4, Base10: 384
Input: SME, Original Base: 37, Target Base: 9, Converted: 58641, Base10: 39160
Input: D, Original Base: 54, Target Base: 35, Converted: D, Base10: 13
Input: 1, Original Base: 60, Target Base: 16, Converted: 1, Base10: 1
Input: 23001, Original Base: 11, Target Base: 31, Converted: 13JD, Base10: 33276
Input: 7gc, Original Base: 46, Target Base: 9, Converted: 25016, Base10: 16782
Input: 7RNZ, Original Base: 52, Target Base: 47, Converted: A988, Base10: 1058495
Input: 3, Original Base: 53, Target Base: 14, Converted: 3, Base10: 3
Input: 35CJF, Original Base: 20, Target Base: 29, Converted: LFE5, Base10: 525195
Input: Y, Original Base: 56, Target Base: 20, Converted: 1E, Base10: 34
Input: 431, Original Base: 5, Target Base: 47, Converted: 2M, Base10: 116
Input: 193, Original Base: 34, Target Base: 60, Converted: OP, Base10: 1465
Input: 51, Original Base: 60, Target Base: 16, Converted: 12D, Base10: 301
Input: 1D4329, Original Base: 14, Target Base: 2, Converted: 100000000000100000001, Base10: 1048833
Input: 10010000, Original Base: 2, Target Base: 53, Converted: 2c, Base10: 144
Input: 18, Original Base: 46, Target Base: 11, Converted: 4A, Base10: 54
Input: 10004034, Original Base: 8, Target Base: 53, Converted: E5H4, Base10: 2099228
Input: 3XO3, Original Base: 41, Target Base: 12, Converted: 1083B3, Base10: 263223
Input: 14BBG, Original Base: 18, Target Base: 53, Converted: l16, Base10: 132082
Input: IP, Original Base: 56, Target Base: 24, Converted: 1J1, Base10: 1033
Input: 3g, Original Base: 58, Target Base: 32, Converted: 6O, Base10: 216
Input: 5HG, Original Base: 21, Target Base: 47, Converted: 17e, Base10: 2578
Input: 2, Original Base: 57, Target Base: 8, Converted: 2, Base10: 2
Input: 20HV, Original Base: 32, Target Base: 26, Converted: 3JKJ, Base10: 66111
Input: 2, Original Base: 52, Target Base: 58, Converted: 2, Base10: 2
Input: 6R8, Original Base: 51, Target Base: 22, Converted: 1D27, Base10: 16991
Input: PY, Original Base: 47, Target Base: 48, Converted: P9, Base10: 1209
Input: 6, Original Base: 27, Target Base: 34, Converted: 6, Base10: 6
Input: XYzX, Original Base: 63, Target Base: 40, Converted: 3B3dD, Base10: 8390373
Input: JLT9, Original Base: 30, Target Base: 50, Converted: 4D5T, Base10: 532779
Input: 16X, Original Base: 45, Target Base: 31, Converted: 2D3, Base10: 2328
Input: 976, Original Base: 12, Target Base: 32, Converted: 1BA, Base10: 1386
Input: 661, Original Base: 40, Target Base: 48, Converted: 4D1, Base10: 9841
Input: 20BA, Original Base: 13, Target Base: 11, Converted: 3464, Base10: 4547
Input: D9M6, Original Base: 43, Target Base: 55, Converted: 6HRO, Base10: 1051184
Input: AO, Original Base: 48, Target Base: 39, Converted: Ca, Base10: 504
Input: 124, Original Base: 10, Target Base: 27, Converted: 4G, Base10: 124
Input: 1MFEV, Original Base: 49, Target Base: 22, Converted: 1DHK71, Base10: 8389811
Input: 0, Original Base: 13, Target Base: 49, Converted: 0, Base10: 0
Input: 166, Original Base: 23, Target Base: 32, Converted: L1, Base10: 673
Input: 6, Original Base: 57, Target Base: 12, Converted: 6, Base10: 6
Input: 83E, Original Base: 35, Target Base: 49, Converted: 46L, Base10: 9919
Input: 18, Original Base: 9, Target Base: 24, Converted: H, Base10: 17
Input: HK23E, Original Base: 22, Target Base: 52, Converted: ThlC, Base10: 4196360
Input: XzS, Original Base: 63, Target Base: 19, Converted: 10CA5, Base10: 134848
Input: 4201620, Original Base: 10, Target Base: 12, Converted: 14A75B0, Base10: 4201620
Input: 1, Original Base: 2, Target Base: 10, Converted: 1, Base10: 1
Input: CZ3, Original Base: 36, Target Base: 35, Converted: DPF, Base10: 16815
Input: 4C3, Original Base: 21, Target Base: 17, Converted: 6GD, Base10: 2019
Input: 12EF, Original Base: 25, Target Base: 23, Converted: 19DD, Base10: 17240
Input: 0, Original Base: 5, Target Base: 7, Converted: 0, Base10: 0
Input: 2lO, Original Base: 54, Target Base: 31, Converted: 8MO, Base10: 8394
Input: 7Z, Original Base: 46, Target Base: 43, Converted: 8D, Base10: 357
Input: 15I2, Original Base: 19, Target Base: 50, Converted: 3U8, Base10: 9008
Input: 46, Original Base: 55, Target Base: 44, Converted: 56, Base10: 226
Input: 1113, Original Base: 8, Target Base: 24, Converted: 10B, Base10: 587
Input: EV, Original Base: 56, Target Base: 30, Converted: R5, Base10: 815
Input: 2ETc, Original Base: 62, Target Base: 8, Converted: 2017524, Base10: 532308
Input: 2, Original Base: 47, Target Base: 60, Converted: 2, Base10: 2
Input: ZEAI, Original Base: 39, Target Base: 22, Converted: 8L09D, Base10: 2097867
Input: 3, Original Base: 57, Target Base: 63, Converted: 3, Base10: 3
Input: 403F2, Original Base: 16, Target Base: 39, Converted: 4H0L, Base10: 263154
Input: 23, Original Base: 22, Target Base: 18, Converted: 2B, Base10: 47
Input: 7, Original Base: 24, Target Base: 30, Converted: 7, Base10: 7
Input: D4, Original Base: 15, Target Base: 50, Converted: 3n, Base10: 199
Input: CE, Original Base: 24, Target Base: 60, Converted: 52, Base10: 302
Input: 9PDK, Original Base: 30, Target Base: 57, Converted: 1Om5, Base10: 265910
Input: NRa, Original Base: 40, Target Base: 23, Converted: 32FC, Base10: 37916
Input: 12D8, Original Base: 14, Target Base: 54, Converted: 17W, Base10: 3326
Input: 8OwO, Original Base: 63, Target Base: 57, Converted: BJ80, Base10: 2099310
Input: 1E, Original Base: 22, Target Base: 3, Converted: 1100, Base10: 36
Input: 100000322320, Original Base: 4, Target Base: 10, Converted: 4198072, Base10: 4198072
Input: 3mU5, Original Base: 51, Target Base: 6, Converted: 15123252, Base10: 524336
Input: 4ky, Original Base: 61, Target Base: 48, Converted: 7Xc, Base10: 17750
Input: 2, Original Base: 37, Target Base: 51, Converted: 2, Base10: 2
Input: 3, Original Base: 40, Target Base: 8, Converted: 3, Base10: 3
Input: OGML, Original Base: 35, Target Base: 28, Converted: 1JME7, Base10: 1049391
Input: 1, Original Base: 63, Target Base: 35, Converted: 1, Base10: 1
Input: 5, Original Base: 55, Target Base: 2, Converted: 101, Base10: 5
Input: 32, Original Base: 57, Target Base: 46, Converted: 3Z, Base10: 173
Input: 15gI, Original Base: 49, Target Base: 59, Converted: bng, Base10: 131730
Input: 10, Original Base: 5, Target Base: 30, Converted: 5, Base10: 5
Input: 2D05, Original Base: 30, Target Base: 61, Converted: He8, Base10: 65705
Input: 5QI, Original Base: 57, Target Base: 45, Converted: 8YF, Base10: 17745
Input: 5W, Original Base: 54, Target Base: 18, Converted: GE, Base10: 302
Input: 1, Original Base: 48, Target Base: 33, Converted: 1, Base10: 1
Input: 255LB, Original Base: 22, Target Base: 44, Converted: 66hX, Base10: 524645
Input: 21F9, Original Base: 21, Target Base: 7, Converted: 110142, Base10: 19287
Input: F, Original Base: 43, Target Base: 21, Converted: F, Base10: 15
Input: 10000111100110010, Original Base: 2, Target Base: 36, Converted: 1HKI, Base10: 69426
Input: 1, Original Base: 3, Target Base: 60, Converted: 1, Base10: 1
Input: 1, Original Base: 28, Target Base: 23, Converted: 1, Base10: 1
Input: 78, Original Base: 22, Target Base: 16, Converted: A2, Base10: 162
Input: 8o9R, Original Base: 62, Target Base: 22, Converted: 8L3DF, Base10: 2099409
Input: 3ROB, Original Base: 33, Target Base: 51, Converted: 123B, Base10: 138017
Input: DB4, Original Base: 23, Target Base: 21, Converted: G3F, Base10: 7134
Input: 2QH, Original Base: 62, Target Base: 2, Converted: 10010001100101, Base10: 9317
Input: 926, Original Base: 22, Target Base: 39, Converted: 2Yc, Base10: 4406
Input: A67, Original Base: 31, Target Base: 43, Converted: 5Cg, Base10: 9803
Input: 39G, Original Base: 24, Target Base: 23, Converted: 3G5, Base10: 1960
Input: 20, Original Base: 10, Target Base: 2, Converted: 10100, Base10: 20
Input: 5T, Original Base: 34, Target Base: 10, Converted: 199, Base10: 199
Input: 2424, Original Base: 7, Target Base: 59, Converted: FF, Base10: 900
Input: 77, Original Base: 14, Target Base: 28, Converted: 3L, Base10: 105
Input: 6OBU, Original Base: 34, Target Base: 38, Converted: 4UUO, Base10: 263972
Input: 856120, Original Base: 12, Target Base: 51, Converted: FiD0, Base10: 2104872
Input: B6C, Original Base: 27, Target Base: 57, Converted: 2Tg, Base10: 8193
